,index,School,School_Total,graduation_rate,Grade,Grade_Total,male_pct,female_pct,asian_pct,black_pct,hispanic_pct,white_pct,multi_pct,native_pct,learning_english_pct,disability_pct,poverty_pct,homeless_pct,School_exp,Classroom_Salary,Other_Inst_Salary,Inst_Benefits,Prof_Dev,Admin_Salary,Admin_Benefits,Other_Salaries,Other_Benefits,Other_Exp,S_T_Ratio,lt_4,four_twenty,plus_21
1409,1436,QUEENS HS -SCIENCES-YORK COLLEGE,520,1.0,9,131,0.5877862595419847,0.4122137404580153,0.816793893129771,0.04580152671755725,0.05343511450381679,0.06870229007633588,0.007633587786259542,0.007633587786259542,0.0,0.0,0.6946564885496184,0.0,18467.91,4808.77,677.4,2748.86,100.43,959.14,480.58,299.92,150.28,522.76,19,30,52,19
1410,1437,QUEENS HS -SCIENCES-YORK COLLEGE,520,1.0,10,144,0.5694444444444444,0.4305555555555556,0.8472222222222222,0.034722222222222224,0.0625,0.04861111111111111,0.0,0.006944444444444444,0.0,0.0,0.7013888888888888,0.0,18467.91,4808.77,677.4,2748.86,100.43,959.14,480.58,299.92,150.28,522.76,19,30,52,19
1411,1438,QUEENS HS -SCIENCES-YORK COLLEGE,520,1.0,11,121,0.5867768595041323,0.4132231404958678,0.8842975206611571,0.024793388429752067,0.04132231404958678,0.04132231404958678,0.008264462809917356,0.0,0.0,0.0,0.6033057851239669,0.0,18467.91,4808.77,677.4,2748.86,100.43,959.14,480.58,299.92,150.28,522.76,19,30,52,19
1412,1439,QUEENS HS -SCIENCES-YORK COLLEGE,520,1.0,12,124,0.5645161290322581,0.43548387096774194,0.8870967741935484,0.024193548387096774,0.04032258064516129,0.04032258064516129,0.008064516129032258,0.0,0.0,0.0,0.6048387096774194,0.0,18467.91,4808.77,677.4,2748.86,100.43,959.14,480.58,299.92,150.28,522.76,19,30,52,19
1413,1440,QUEENS HS FOR LANGUAGE STUDIES,449,0.9470124013528749,9,125,0.496,0.504,0.584,0.032,0.304,0.032,0.04,0.008,0.168,0.064,0.792,0.0,20262.33,5579.97,899.06,3246.33,11.24,936.34,469.16,619.47,310.39,470.61,15,37,63,0
1414,1441,QUEENS HS FOR LANGUAGE STUDIES,449,0.9470124013528749,10,115,0.40869565217391307,0.591304347826087,0.5826086956521739,0.02608695652173913,0.3391304347826087,0.02608695652173913,0.02608695652173913,0.0,0.26956521739130435,0.0782608695652174,0.7304347826086957,0.043478260869565216,20262.33,5579.97,899.06,3246.33,11.24,936.34,469.16,619.47,310.39,470.61,15,37,63,0
1415,1442,QUEENS HS FOR LANGUAGE STUDIES,449,0.9470124013528749,11,105,0.4095238095238095,0.5904761904761905,0.5904761904761905,0.05714285714285714,0.2857142857142857,0.02857142857142857,0.0380952380952381,0.0,0.2571428571428571,0.0,0.780952380952381,0.0761904761904762,20262.33,5579.97,899.06,3246.33,11.24,936.34,469.16,619.47,310.39,470.61,15,37,63,0
1416,1443,QUEENS HS FOR LANGUAGE STUDIES,449,0.9470124013528749,12,104,0.4423076923076923,0.5576923076923077,0.625,0.028846153846153848,0.25,0.04807692307692308,0.038461538461538464,0.009615384615384616,0.2692307692307692,0.0,0.8461538461538461,0.0673076923076923,20262.33,5579.97,899.06,3246.33,11.24,936.34,469.16,619.47,310.39,470.61,15,37,63,0
1417,1444,"QUEENS HS-INFOR, RESEARCH, TECH",474,0.9709989258861439,9,126,0.6904761904761905,0.30952380952380953,0.047619047619047616,0.31746031746031744,0.6031746031746031,0.015873015873015872,0.007936507936507936,0.007936507936507936,0.1984126984126984,0.23015873015873015,0.8650793650793651,0.06349206349206349,23543.59,6488.55,1291.44,3898.18,14.11,1220.24,611.41,696.48,348.97,1254.45,11,16,69,16
1418,1445,"QUEENS HS-INFOR, RESEARCH, TECH",474,0.9709989258861439,10,118,0.635593220338983,0.3644067796610169,0.059322033898305086,0.3389830508474576,0.576271186440678,0.01694915254237288,0.0,0.00847457627118644,0.15254237288135594,0.1694915254237288,0.788135593220339,0.059322033898305086,23543.59,6488.55,1291.44,3898.18,14.11,1220.24,611.41,696.48,348.97,1254.45,11,16,69,16
1419,1446,"QUEENS HS-INFOR, RESEARCH, TECH",474,0.9709989258861439,11,132,0.5681818181818182,0.4318181818181818,0.045454545454545456,0.44696969696969696,0.4696969696969697,0.030303030303030304,0.007575757575757576,0.0,0.14393939393939395,0.12878787878787878,0.7803030303030303,0.06818181818181818,23543.59,6488.55,1291.44,3898.18,14.11,1220.24,611.41,696.48,348.97,1254.45,11,16,69,16
1420,1447,"QUEENS HS-INFOR, RESEARCH, TECH",474,0.9709989258861439,12,98,0.6122448979591837,0.3877551020408163,0.04081632653061224,0.40816326530612246,0.47959183673469385,0.061224489795918366,0.0,0.01020408163265306,0.1836734693877551,0.1836734693877551,0.6836734693877551,0.07142857142857142,23543.59,6488.55,1291.44,3898.18,14.11,1220.24,611.41,696.48,348.97,1254.45,11,16,69,16
