District,School,Accountability,Needs,School_exp,Classroom_Salary,Other_Inst_Salary,Inst_Benefits,Prof_Dev,Admin_Salary,Admin_Benefits,Other_Salaries,Other_Benefits,Other_Exp
NYC GEOG DIST # 8 - BRONX,PELHAM LAB HIGH SCHOOL,Good,1,24586.8,7360.91,1493.33,4436.45,54.94,1020.41,511.28,871.19,436.51,682.01
NYC GEOG DIST # 8 - BRONX,RENAISSANCE HIGH SCHOOL-MTA,Good,1,22946.96,6159.78,1142.02,3658.59,63.55,1295.65,649.19,505.99,253.53,1498.91
NYC GEOG DIST # 8 - BRONX,SCHUYLERVILLE PREP HS,Good,1,23995.14,6649.87,1506.42,4086.73,5.01,1214.75,608.65,521.47,261.29,1421.19
NYC GEOG DIST # 8 - BRONX,WESTCHESTER SQUARE ACADEMY,Good,1,24849.26,6138.64,1648.37,3901.7,95.93,1005.97,504.05,1518.51,760.85,1555.47
NYC GEOG DIST # 8 - BRONX,WOMEN'S ACADEMY OF EXCELLENCE,Good,1,30923.9,10530.8,2089.53,6323.45,0.0,1743.39,873.53,616.21,308.75,718.47
NYC GEOG DIST # 9 - BRONX,ACADEMY-LANGUAGE AND TECHNOLOGY,Good,1,22977.94,5310.35,1137.43,3230.68,0.0,890.32,446.1,582.94,292.08,3368.29
NYC GEOG DIST # 9 - BRONX,BRONX CENTER FOR SCI & MATH,Good,1,23461.23,6427.61,1266.76,3855.28,52.23,1496.95,750.05,850.4,426.1,616.09
NYC GEOG DIST # 9 - BRONX,BRONX COLLEGIATE ACADEMY,Good,1,27048.74,6416.39,2268.18,4351.43,0.0,1332.06,667.43,1182.92,592.7,2517.86
NYC GEOG DIST # 9 - BRONX,BRONX EARLY COL ACAD-TEACH/LEARN,Target,1,22638.68,5629.36,1066.86,3355.16,41.09,828.77,415.26,415.99,208.43,2958.0
NYC GEOG DIST # 9 - BRONX,BRONX HIGH SCHOOL OF BUSINESS,Good,1,31945.27,8903.14,1975.95,5451.0,71.43,1447.36,725.2,2013.84,1009.04,2628.56
NYC GEOG DIST # 9 - BRONX,BRONX HS FOR MEDICAL SCIENCE,Good,1,25498.3,7606.37,1593.76,4609.75,3.62,1148.24,575.33,592.43,296.84,1352.21
NYC GEOG DIST # 9 - BRONX,BRONX INTERNATIONAL HIGH SCHOOL,Good,1,28530.66,8409.5,1872.83,5151.99,15.15,1731.42,867.53,891.68,446.78,1424.01
NYC GEOG DIST # 9 - BRONX,BRONX LEADERSHIP ACAD HIGH SCHOOL,Target,1,27709.85,6890.75,2047.48,4478.53,0.0,1178.36,590.42,1854.26,929.08,2021.2
NYC GEOG DIST # 9 - BRONX,"BRONX SCHOOL FOR LAW, GOV, JUSTICE",Good,1,23280.66,6429.9,1563.72,4005.23,2.39,719.02,360.27,627.65,314.48,1538.24
NYC GEOG DIST # 9 - BRONX,CLAREMONT INTERNATIONAL HS,Good,1,26128.61,6814.03,2155.41,4494.16,89.78,1011.54,506.83,798.08,399.88,2139.13
NYC GEOG DIST # 9 - BRONX,COMP MODEL SCH PROJECT MS 327,Good,1,23887.91,6503.47,1840.64,4180.84,0.0,856.83,429.32,798.69,400.19,1158.17
NYC GEOG DIST # 9 - BRONX,DREAMYARD PREPARATORY SCHOOL,Good,1,24179.63,6045.19,1148.56,3604.45,0.0,972.18,487.11,1050.0,526.1,2626.27
NYC GEOG DIST # 9 - BRONX,EAGLE ACADEMY FOR YOUNG MEN,CSI,1,25407.52,6619.65,2323.94,4481.21,129.98,1220.69,611.63,775.32,388.48,1136.85
NYC GEOG DIST # 9 - BRONX,EXIMIUS COLLEGE PREP ACADEMY,Good,1,23660.92,6565.2,1323.44,3952.62,0.0,1301.21,651.98,875.51,438.67,832.53
NYC GEOG DIST # 9 - BRONX,FREDERICK DOUGLASS ACAD III,CSI,1,29213.58,8692.47,1724.52,5219.46,109.9,1127.72,565.05,774.32,387.98,2892.4
NYC GEOG DIST # 9 - BRONX,HIGH SCHOOL-VIOLIN AND DANCE,Target,1,28090.3,7405.88,1444.98,4434.75,13.46,2506.24,1255.76,1667.03,835.27,807.16
NYC GEOG DIST # 9 - BRONX,MORRIS ACADEMY FOR COLLA STUDIES,Good,1,26320.05,6599.59,1817.33,4217.32,32.76,1291.82,647.27,721.4,361.46,2911.35
NYC GEOG DIST # 9 - BRONX,MOTT HALL BRONX HIGH SCHOOL,Good,1,23909.22,6574.64,1432.29,4011.89,74.25,1040.7,521.45,951.67,476.84,1105.73
NYC GEOG DIST # 9 - BRONX,NEW DIRECTIONS SECONDARY SCHOOL,CSI,1,37889.95,9817.89,4213.9,7030.67,0.0,2317.14,1161.01,2417.88,1211.49,2000.22
NYC GEOG DIST # 9 - BRONX,SCHOOL FOR EXCELLENCE,CSI,1,34373.55,10109.27,1946.55,6040.6,4.32,1796.83,900.3,3050.94,1528.68,1276.3
NYC GEOG DIST # 9 - BRONX,URBAN ASSMBLY SCHOOL-APPL MATH,Good,1,24726.36,7646.07,1456.71,4560.97,32.92,738.81,370.18,413.87,207.37,1579.69
NYC GEOG DIST # 9 - BRONX,VALIDUS PREP ACADEMY,CSI,1,25681.38,6477.6,2275.08,4385.55,26.79,1442.91,722.98,935.83,468.9,1225.98
NYC GEOG DIST # 9 - BRONX,YOUNG WOMEN'S LDSHP SCHOOL-BRONX,Good,1,22237.62,6088.54,1241.62,3672.8,82.93,782.16,391.9,310.69,155.67,1791.55
NYC GEOG DIST #10 - BRONX,BELMONT PREPARATORY HIGH SCHOOL,Good,1,24912.17,7557.38,1268.03,4422.0,7.54,897.71,449.8,1280.23,641.46,668.26
NYC GEOG DIST #10 - BRONX,BRONX ACAD FOR SOFTWARE ENGINEERING,Good,1,25879.36,7254.35,1524.72,4398.78,30.23,773.7,387.66,1434.22,718.62,1637.32
NYC GEOG DIST #10 - BRONX,BRONX COLLABORATIVE HIGH SCHOOL,CSI,1,25115.4,7311.67,1754.45,4542.61,106.82,870.88,436.36,844.15,422.96,1105.73
NYC GEOG DIST #10 - BRONX,BRONX ENG & TECH ACADEMY,Good,1,25783.11,8116.65,1157.75,4646.97,15.05,918.44,460.19,1037.82,520.0,1190.48
NYC GEOG DIST #10 - BRONX,BRONX HIGH SCHOOL OF SCIENCE,Good,1,17123.51,4394.47,579.35,2492.15,0.0,473.8,237.4,551.0,276.08,399.51
NYC GEOG DIST #10 - BRONX,BRONX HIGH SCHOOL-LAW & COMM SVC,Good,1,25565.82,7490.82,1602.26,4556.12,83.67,1174.37,588.42,1112.26,557.3,680.83
NYC GEOG DIST #10 - BRONX,BRONX SCHOOL OF LAW & FINANCE,Good,1,26529.33,6750.84,1681.91,4225.25,0.0,1396.42,699.68,2412.34,1208.71,434.4
NYC GEOG DIST #10 - BRONX,BRONX THEATRE HIGH SCHOOL,Good,1,25797.33,6912.06,2327.32,4629.42,0.0,1566.73,785.01,639.59,320.47,896.98
NYC GEOG DIST #10 - BRONX,CELIA CRUZ BRONX HS OF MUSIC,Good,1,24713.44,6674.87,2029.42,4361.31,0.0,1042.75,522.47,525.2,263.15,1574.51
NYC GEOG DIST #10 - BRONX,CROTONA INTERNATIONAL HS,Good,1,28835.99,6837.48,1917.95,4386.93,103.35,1570.74,787.02,897.49,449.69,4165.58
NYC GEOG DIST #10 - BRONX,DEWITT CLINTON HIGH SCHOOL,Target,1,26132.91,6909.95,1333.23,4130.27,19.54,1210.26,606.4,972.07,487.06,2744.36
NYC GEOG DIST #10 - BRONX,DISCOVERY HIGH SCHOOL,Good,1,22995.97,5811.97,1183.54,3505.12,0.0,1044.36,523.28,628.63,314.97,2264.35
NYC GEOG DIST #10 - BRONX,ENGLISH LANGUAGE LEARNERS-INTER SUPP,Good,1,32351.91,8981.28,2374.14,5689.67,28.94,1901.51,952.76,2348.17,1176.56,1179.12
NYC GEOG DIST #10 - BRONX,FORDHAM HS FOR THE ARTS,Good,1,22658.45,5450.64,1220.08,3342.38,100.0,922.19,462.07,836.9,419.33,2185.1
NYC GEOG DIST #10 - BRONX,FORDHAM LEADERSHIP ACADEMY,Good,1,23410.84,5669.05,990.89,3336.98,192.08,1041.95,522.07,633.27,317.3,2987.48
NYC GEOG DIST #10 - BRONX,HIGH SCHOOL-ENERGY AND TECHNOLOG,Good,1,27159.64,7516.04,1780.65,4658.13,0.0,1267.44,635.05,740.89,371.23,2470.44
NYC GEOG DIST #10 - BRONX,HS AMER STUDIES AT LEHMAN COLL,Good,1,21738.39,6942.2,713.44,3835.88,0.0,919.15,460.55,685.65,343.55,118.21
NYC GEOG DIST #10 - BRONX,HS FOR TEACHING AND PROFESSIONS,Good,1,30195.78,8247.18,2478.41,5374.09,15.06,1232.94,617.77,1331.9,667.35,2511.32
NYC GEOG DIST #10 - BRONX,IN-TECH ACADEMY (MS/HS 368),Good,1,23517.18,6974.57,1765.92,4379.45,20.99,682.22,341.83,625.29,313.3,693.86
NYC GEOG DIST #10 - BRONX,INTERNATIONAL SCHOOL-LIBERAL ARTS,Good,1,25316.61,8541.98,962.57,4762.28,46.86,932.72,467.34,534.24,267.68,1081.18
NYC GEOG DIST #10 - BRONX,KINGSBRIDGE INTERNATIONAL HS,Target,1,28530.8,8606.63,1774.62,5201.56,0.0,1340.25,671.54,1198.41,600.47,1417.57
NYC GEOG DIST #10 - BRONX,"KNOWLEDGE, POWER PREP ACAD INTER HS",Good,1,21415.17,5509.85,831.36,3177.28,95.11,1190.97,596.74,808.65,405.18,1080.25
NYC GEOG DIST #10 - BRONX,MARBLE HILL HS-INTRNTNL STUDIES,Good,1,24046.21,7081.17,1673.0,4386.3,0.0,1114.65,558.5,483.34,242.18,787.3
NYC GEOG DIST #10 - BRONX,MARIE CURIE HIGH SCHOOL-NURSING,Good,1,23922.49,7035.62,1188.31,4120.62,171.71,832.34,417.05,829.44,415.59,1192.05
NYC GEOG DIST #10 - BRONX,PULSE HIGH SCHOOL,CSI,1,34540.17,10419.92,4611.98,7531.78,0.0,1175.8,589.14,726.09,363.81,1401.89
NYC GEOG DIST #10 - BRONX,RIVERDALE/KINGSBRIDGE (MS/HS 141),Good,1,19845.16,5963.06,899.29,3438.4,15.23,502.78,251.92,496.31,248.68,309.72
NYC GEOG DIST #10 - BRONX,THEATRE ARTS PRODUCTION COMPANY,Good,1,25310.4,8019.75,1726.56,4883.42,0.0,826.17,413.96,521.64,261.37,937.77
NYC GEOG DIST #10 - BRONX,WEST BRONX ACAD FOR THE FUTURE,Target,1,24053.79,6938.42,1398.3,4177.14,9.31,959.67,480.85,752.38,376.98,1240.98
NYC GEOG DIST #10 - BRONX,WORLD VIEW HIGH SCHOOL,Good,1,23037.2,6155.86,1539.76,3855.91,13.8,970.39,486.21,696.94,349.2,1249.37
NYC GEOG DIST #11 - BRONX,ACAD-SCHOLARSHIP & ENTREPRENEURSHIP,Good,1,26166.24,7476.72,1536.87,4516.28,83.14,1373.34,688.11,1301.67,652.2,818.14
NYC GEOG DIST #11 - BRONX,ASTOR COLLEGIATE ACADEMY,Good,1,22548.34,6380.29,1246.67,3821.51,37.11,1033.35,517.76,441.98,221.45,1128.45
NYC GEOG DIST #11 - BRONX,BRONX ACADEMY OF HEALTH CAREERS,Good,1,21664.38,5940.44,834.74,3394.72,24.94,1224.44,613.51,596.44,298.85,1016.54
NYC GEOG DIST #11 - BRONX,BRONX AEROSPACE HIGH SCHOOL,Good,1,32764.99,10686.99,2250.74,6482.49,43.78,1794.79,899.28,1394.31,698.62,794.22
NYC GEOG DIST #11 - BRONX,BRONX HEALTH SCIENCES HIGH SCHOOL,Good,1,20113.74,5050.83,695.45,2879.19,0.0,1105.67,554.0,732.5,367.02,1009.34
NYC GEOG DIST #11 - BRONX,BRONX HIGH SCH-WRITING & COMM ARTS,Good,1,28661.63,7602.08,2201.74,4912.23,125.97,1922.08,963.06,1226.3,614.44,1373.97
NYC GEOG DIST #11 - BRONX,BRONX HIGH SCHOOL-VISUAL ARTS,Good,1,24491.75,6529.09,1713.06,4129.75,70.57,1128.82,565.6,879.43,440.64,1315.02
NYC GEOG DIST #11 - BRONX,BRONX LAB SCHOOL,Good,1,28045.04,9202.43,1411.45,5318.11,0.0,1523.69,763.45,1141.48,571.94,392.72
NYC GEOG DIST #11 - BRONX,BRONXDALE HIGH SCHOOL,Good,1,27943.39,8019.13,2175.51,5108.05,94.59,1010.14,506.13,768.91,385.27,2155.89
NYC GEOG DIST #11 - BRONX,BRONXWOOD PREP ACADEMY,Good,1,21969.61,6024.99,1136.85,3588.46,38.41,1333.51,668.16,632.72,317.02,509.73
NYC GEOG DIST #11 - BRONX,COLLEGIATE INST-MATH & SCIENCE,Good,1,20752.12,5515.07,778.98,3153.65,0.0,1035.77,518.98,586.53,293.88,1149.5
NYC GEOG DIST #11 - BRONX,HARRY S TRUMAN HIGH SCHOOL,Good,1,21310.71,5446.47,1193.27,3326.86,33.27,653.82,327.6,724.47,363.0,1522.2
NYC GEOG DIST #11 - BRONX,HIGH SCHOOL-COMPUTERS & TECHNOLOGY,Good,1,25448.5,7047.02,1926.32,4496.12,0.0,1236.47,619.53,984.14,493.11,926.03
NYC GEOG DIST #11 - BRONX,HIGH SCHOOL-CONTEMPORARY ARTS,Good,1,30295.64,9750.22,1862.5,5818.59,0.0,1504.49,753.83,1593.01,798.18,495.05
NYC GEOG DIST #11 - BRONX,HS FOR LANGUAGE-INNOVATION,Good,1,26438.86,6899.37,2009.66,4463.89,73.41,1342.98,672.91,1136.97,569.68,1550.22
NYC GEOG DIST #11 - BRONX,NEW WORLD HIGH SCHOOL,Good,1,22756.61,6071.29,1483.3,3785.25,19.23,1348.12,675.48,517.77,259.43,876.99
NYC GEOG DIST #11 - BRONX,PELHAM PREPARATORY ACADEMY,Good,1,21098.9,5848.06,973.54,3417.98,2.46,932.16,467.06,654.26,327.82,755.8
NYC GEOG DIST #12 - BRONX,ARTURO A SCHOMBURG SATELLITE-BRONX,Good,1,33748.34,9537.65,2963.41,6263.69,0.0,2349.24,1177.09,1860.34,932.13,945.02
NYC GEOG DIST #12 - BRONX,BRONX CAREER AND COLLEGE PREP HS,CSI,1,30872.31,7937.64,2712.82,5336.45,0.0,1236.05,619.33,1644.01,823.74,2842.51
NYC GEOG DIST #12 - BRONX,BRONX ENVISION ACADEMY,Good,1,27040.5,8317.58,1681.16,5009.89,5.33,1197.87,600.2,806.42,404.06,1298.24
NYC GEOG DIST #12 - BRONX,BRONX LATIN SCHOOL,Good,1,24445.57,7127.12,1186.39,4165.5,0.0,1112.66,557.5,775.12,388.38,1413.15
NYC GEOG DIST #12 - BRONX,CINEMA SCHOOL,Good,1,21734.41,5466.1,882.94,3181.2,0.0,1285.47,644.09,695.98,348.72,1510.15
NYC GEOG DIST #12 - BRONX,EAST BRONX ACADEMY-FUTURE,Good,1,27993.91,8862.34,2509.46,5697.87,38.6,736.32,368.94,556.76,278.97,1224.89
NYC GEOG DIST #12 - BRONX,EXPLORATIONS ACADEMY HS,Good,1,26908.4,8058.96,2005.39,5042.77,13.74,665.8,333.6,960.75,481.39,1626.24
NYC GEOG DIST #12 - BRONX,FANNIE LOU HAMER FREEDOM HS,Good,1,26323.36,6916.67,1992.62,4464.03,88.62,1250.94,626.79,1061.91,532.07,1669.94
NYC GEOG DIST #12 - BRONX,HIGH SCHOOL OF WORLD CULTURES,CSI,1,29893.96,8901.48,2186.79,5555.81,0.0,1241.98,622.29,1262.16,632.41,1771.28
NYC GEOG DIST #12 - BRONX,METROPOLITAN HIGH SCHOOL,CSI,1,44660.32,13764.17,3011.19,8405.35,50.31,2998.31,1502.31,2749.0,1377.4,3082.51
NYC GEOG DIST #12 - BRONX,METROPOLITAN SOUNDVIEW HS,Good,1,24989.79,7233.19,1447.51,4349.49,92.15,953.23,477.62,1137.36,569.88,1009.59
NYC GEOG DIST #12 - BRONX,MOTT HALL V,Good,1,24576.77,7164.34,1648.45,4415.67,88.8,848.0,424.89,798.63,400.15,1068.07
NYC GEOG DIST #12 - BRONX,PAN AMERICAN INTERNATIONAL HS,Good,1,26449.87,7675.98,1600.59,4648.05,0.0,1024.0,513.08,763.49,382.55,2122.38
NYC GEOG DIST #12 - BRONX,WINGS ACADEMY,CSI,1,26721.41,8440.82,1355.04,4908.24,0.0,1554.55,778.91,752.91,377.25,833.92
NYC GEOG DIST #13 - BROOKLYN,BEDFORD ACADEMY HIGH SCHOOL,Good,1,20801.2,5683.13,1211.1,3454.37,0.0,841.89,421.83,557.92,279.55,631.65
NYC GEOG DIST #13 - BROOKLYN,BENJAMIN BANNEKER ACADEMY,Good,1,19922.56,5308.98,1170.95,3246.79,0.0,706.96,354.22,428.71,214.81,771.38
NYC GEOG DIST #13 - BROOKLYN,BROOKLYN COMM ARTS-MEDIA HS,Good,1,24773.57,7911.09,1196.34,4563.3,5.58,654.83,328.1,730.31,365.92,1298.34
NYC GEOG DIST #13 - BROOKLYN,BROOKLYN HS-LEADERSHIP & COMMUNITY,CSI,1,41412.86,13324.97,1944.38,7650.75,38.8,4226.09,2117.5,1687.65,845.6,1857.36
NYC GEOG DIST #13 - BROOKLYN,BROOKLYN INTERNATIONAL HS,Good,1,24659.93,6690.3,1836.16,4272.21,0.0,958.71,480.36,877.75,439.8,1384.88
NYC GEOG DIST #13 - BROOKLYN,BROOKLYN TECHNICAL HS,Good,1,17253.36,4651.47,452.18,2557.2,0.0,274.99,137.78,470.72,235.86,753.39
NYC GEOG DIST #13 - BROOKLYN,CITY POLYTECHNIC HIGH SCHOOL,Good,1,22737.31,5797.16,1206.73,3509.32,4.62,1024.4,513.28,907.3,454.61,1600.13
NYC GEOG DIST #13 - BROOKLYN,DR SUSAN S MCKINNEY SS -ARTS,Good,1,28906.56,9531.85,2570.31,6063.82,0.0,733.31,367.43,814.55,408.13,697.39
NYC GEOG DIST #13 - BROOKLYN,GEORGE WESTINGHOUSE CAREER/TECH HS,Good,1,24500.95,6521.77,1414.99,3976.74,187.26,1092.97,547.63,1174.72,588.6,1276.51
NYC GEOG DIST #13 - BROOKLYN,GOTHAM PROFESSIONAL ARTS ACADEMY,Good,1,26521.26,6638.53,1839.61,4247.99,57.14,1003.32,502.71,1380.97,691.94,2439.29
NYC GEOG DIST #13 - BROOKLYN,SCIENCE SKILLS CENTER HIGH SCHOOL,Good,1,22042.97,6049.75,1049.49,3557.09,8.8,832.67,417.21,1029.14,515.65,863.4
NYC GEOG DIST #13 - BROOKLYN,URBAN ASSEMBLY INST OF MATH AND SCIE,Good,1,23010.57,6682.56,1191.83,3945.49,90.12,689.26,345.35,655.53,328.46,1362.2
NYC GEOG DIST #13 - BROOKLYN,URBAN ASSEMBLY SCHOOL-MUSIC-ARTS,Good,1,28900.44,6109.47,2432.61,4280.03,5.71,2756.19,1380.99,899.36,450.63,2865.68
NYC GEOG DIST #13 - BROOKLYN,URBAN ASSMBLY SCH-LAW & JSTCE,Good,1,21789.98,6006.57,1716.84,3869.84,1.97,647.15,324.26,471.59,236.29,795.7
NYC GEOG DIST #14 - BROOKLYN,A-TECH HIGH SCHOOL,Good,1,32050.35,9038.17,2162.82,5612.29,694.56,1140.87,571.64,1352.44,677.64,3080.16
NYC GEOG DIST #14 - BROOKLYN,BROOKLYN LATIN SCHOOL,Good,1,18100.75,4656.01,558.07,2612.53,15.95,583.0,292.11,611.92,306.61,744.79
NYC GEOG DIST #14 - BROOKLYN,BROOKLYN PREPARATORY HS,Good,1,20873.73,5863.67,861.93,3369.88,26.42,890.42,446.15,581.83,291.53,822.13
NYC GEOG DIST #14 - BROOKLYN,EAST WILLIAMSBURG SCHOLARS,Good,1,26313.08,7276.96,2371.88,4834.58,92.88,1628.23,815.83,554.84,278.0,740.12
NYC GEOG DIST #14 - BROOKLYN,EL PUENTE ACAD FOR PEACE AND JUSTICE,Good,1,27045.44,8019.62,1222.03,4630.55,0.0,1425.31,714.15,1525.68,764.45,1023.88
NYC GEOG DIST #14 - BROOKLYN,"HIGH SCHOOL-ENTERPRISE, BUS & TECH",Good,1,21916.12,6330.66,889.71,3617.78,26.84,1069.01,535.63,475.55,238.27,1012.9
NYC GEOG DIST #14 - BROOKLYN,JUAN MOREL CAMPOS SECONDARY SCHOOL,Good,1,33367.28,9882.39,3574.32,6742.53,0.0,943.81,472.9,928.77,465.36,2637.42
NYC GEOG DIST #14 - BROOKLYN,LYONS COMMUNITY SCHOOL,CSI,1,27468.04,9257.92,1475.42,5377.97,0.0,719.5,360.51,1087.76,545.03,924.17
NYC GEOG DIST #14 - BROOKLYN,PROGRESS HS-PROFESSIONAL CAREERS,Good,1,26082.25,7143.66,1686.18,4424.22,0.0,1452.88,727.97,1493.8,748.47,685.31
NYC GEOG DIST #14 - BROOKLYN,WILLAMSBURG HS-ARCH & DESIGN,Good,1,23423.37,5358.37,1794.41,3583.92,207.88,1073.38,537.82,1148.78,575.6,1423.45
NYC GEOG DIST #14 - BROOKLYN,WILLIAMSBURG HS-ART-TECH,Good,1,25884.51,6280.35,1965.32,4131.51,91.61,871.91,436.87,942.75,472.37,2972.06
NYC GEOG DIST #14 - BROOKLYN,WILLIAMSBURG PREPARATORY SCHOOL,Good,1,21324.9,6319.66,921.48,3628.19,0.0,880.49,441.17,289.56,145.08,979.5
NYC GEOG DIST #14 - BROOKLYN,YOUNG WOMENS LEADERSHIP SCH-BROOKLY,Good,1,22949.52,6059.45,1550.88,3813.18,63.66,1229.97,616.28,451.4,226.18,1218.75
NYC GEOG DIST #15 - BROOKLYN,BOERUM HILL SCHOOL FOR INTERNATIONAL,Target,1,22203.93,6342.01,1691.0,4024.96,60.3,803.28,402.48,303.72,152.18,704.24
NYC GEOG DIST #15 - BROOKLYN,BROOKLYN COLLABORATIVE STUDIES,CSI,1,25142.4,7495.49,2529.49,5023.04,0.0,450.92,225.93,821.22,411.47,465.07
NYC GEOG DIST #15 - BROOKLYN,BROOKLYN FRONTIERS HS,Good,1,33105.63,11986.08,523.31,6267.87,0.0,2836.67,1421.32,713.78,357.64,1279.2
NYC GEOG DIST #15 - BROOKLYN,BROOKLYN HIGH SCHOOL OF THE ARTS,Good,1,21177.7,6229.02,796.04,3519.93,0.0,656.25,328.82,646.32,323.84,957.72
NYC GEOG DIST #15 - BROOKLYN,COBBLE HILL SCHOOL-AMERICAN STUDIES,Good,1,25028.96,6029.87,1583.34,3814.62,2.11,1340.02,671.42,849.59,425.69,2592.53
NYC GEOG DIST #15 - BROOKLYN,CYBERARTS STUDIO ACADEMY,Good,1,27803.97,7505.89,2631.66,5079.45,123.71,1478.24,740.67,1075.7,538.98,909.9
NYC GEOG DIST #15 - BROOKLYN,DIGITAL ARTS AND CINEMA TECH HS,Good,1,23995.52,5989.51,1663.51,3834.57,55.11,970.66,486.35,742.55,372.06,2161.44
NYC GEOG DIST #15 - BROOKLYN,JOHN JAY SCHOOL FOR LAW,Good,1,21518.18,5375.18,1046.33,3217.52,130.3,998.97,500.54,580.65,290.94,1657.99
NYC GEOG DIST #15 - BROOKLYN,KHALIL GIBRAN INTERNATIONAL ACADEMY,Good,1,32706.91,10611.35,2015.3,6326.62,13.25,2136.1,1070.3,1315.64,659.21,839.38
NYC GEOG DIST #15 - BROOKLYN,MILLENNIUM BROOKLYN HIGH SCHOOL,Good,1,24914.36,7919.66,1362.45,4650.83,50.35,897.13,449.51,602.64,301.95,960.08
NYC GEOG DIST #15 - BROOKLYN,PARK SLOPE COLLEGIATE,Good,1,22672.12,6846.22,1478.65,4171.2,21.9,658.01,329.7,573.9,287.55,585.22
NYC GEOG DIST #15 - BROOKLYN,SOUTH BROOKLYN COMM HIGH SCHOOL,CSI,1,35102.27,10126.47,1891.32,6021.54,0.0,3276.5,1641.7,2480.99,1243.1,700.9
NYC GEOG DIST #15 - BROOKLYN,SUNSET PARK HIGH SCHOOL,Good,1,22624.83,6832.36,1099.77,3974.41,3.83,663.71,332.56,567.87,284.53,1146.02
NYC GEOG DIST #16 - BROOKLYN,BOYS AND GIRLS HIGH SCHOOL,Good,1,30683.52,8543.41,2318.58,5442.43,13.33,1404.26,703.61,1728.37,866.0,1943.77
NYC GEOG DIST #16 - BROOKLYN,BROOKLYN HIGH SCHOOL-LAW AND TECH,Good,1,20435.93,5600.25,1176.39,3395.46,10.54,751.2,376.39,500.94,251.0,653.98
NYC GEOG DIST #16 - BROOKLYN,BROOKYLN ACADEMY OF GLOBAL FINANCE,Good,1,34298.77,8588.87,1713.74,5162.15,344.02,2529.91,1267.62,1659.47,831.48,4481.75
NYC GEOG DIST #16 - BROOKLYN,NELSON MANDELA HIGH SCHOOL,Good,1,31405.0,11533.3,1462.81,6511.74,24.45,1189.14,595.83,1234.86,618.73,514.38
NYC GEOG DIST #17 - BROOKLYN,ACAD FOR COLLEGE PREP AND CAREER EXP,CSI,1,24138.84,5764.27,2065.97,3923.37,0.0,1887.12,945.55,737.27,369.41,726.12
NYC GEOG DIST #17 - BROOKLYN,ACADEMY FOR HEALTH CAREERS,Good,1,23770.0,6852.44,1076.76,3972.94,63.89,1324.47,663.63,439.29,220.11,1436.72
NYC GEOG DIST #17 - BROOKLYN,ACADEMY OF HOSPITALITY AND TOURISM,Good,1,25929.04,6063.78,2788.06,4435.24,0.0,1542.88,773.06,434.95,217.93,1953.38
NYC GEOG DIST #17 - BROOKLYN,ASPIRATIONS DIPLOMA PLUS HS,Good,1,35683.45,11705.95,1315.65,6524.51,0.0,3687.66,1847.71,1620.15,811.78,450.27
NYC GEOG DIST #17 - BROOKLYN,BROOKLYN ACADEMY OF SCI & ENVIRON,Good,1,23803.91,6636.43,1278.92,3966.01,0.0,962.59,482.31,1417.51,710.25,630.13
NYC GEOG DIST #17 - BROOKLYN,BROOKLYN INSTITUTE FOR LIBERAL ARTS,Good,1,20603.8,4271.09,1132.44,2707.46,27.06,1200.7,601.61,674.2,337.81,1931.66
NYC GEOG DIST #17 - BROOKLYN,BROOKLYN SCHOOL FOR MUSIC & THEATER,Good,1,23444.53,5794.49,1563.84,3686.91,9.41,1621.03,812.22,685.05,343.24,1208.57
NYC GEOG DIST #17 - BROOKLYN,CLARA BARTON HIGH SCHOOL,Good,1,23574.41,5786.21,2029.11,3915.89,0.0,936.36,469.17,822.86,412.3,1482.77
NYC GEOG DIST #17 - BROOKLYN,HIGH SCHOOL FOR GLOBAL CITIZENSHIP,Good,1,22868.34,5499.69,2603.1,4059.92,72.18,868.16,435.0,450.01,225.48,935.04
NYC GEOG DIST #17 - BROOKLYN,HIGH SCHOOL-SERVICE & LEARNING,Good,1,26339.08,6929.43,2405.7,4677.39,13.41,1763.56,883.64,911.59,456.75,577.84
NYC GEOG DIST #17 - BROOKLYN,HIGH SCHOOL-YOUTH & COMM DEVELOPMENT,Good,1,25237.38,5366.0,2550.01,3966.34,53.51,1461.1,732.09,1296.24,649.48,1442.85
NYC GEOG DIST #17 - BROOKLYN,HS FOR PUBLIC SERVICE-HEROES OF TOM,Good,1,21546.33,5494.35,1633.32,3571.34,0.0,1000.66,501.39,378.35,189.57,1057.6
NYC GEOG DIST #17 - BROOKLYN,INTERNTL HS AT PROSPECT HGHTS,Target,1,30644.74,9142.99,2284.15,5725.6,3.57,1671.72,837.62,1340.53,671.68,1247.12
NYC GEOG DIST #17 - BROOKLYN,MEDGAR EVERS COLLEGE PREP SCHOOL,Good,1,17739.14,4593.79,612.95,2608.85,0.0,770.3,385.96,130.62,65.45,851.45
NYC GEOG DIST #17 - BROOKLYN,PATHWAYS TECH EARLY COLLEGE HS,Good,1,22491.28,6301.6,1228.33,3772.9,14.89,1300.53,651.64,850.98,426.38,224.26
NYC GEOG DIST #17 - BROOKLYN,SCHOOL FOR HUMAN RIGHTS,Good,1,28990.87,8326.68,2333.82,5341.48,121.55,1040.3,521.24,1512.57,757.88,1315.59
